stress_level,sleep_hours,coffee_consumption_per_day,days_feeling_burnout_per_month,job_satisfaction_score,wellbeing_id
4.0,5.116545502198779,4,11,6.336688286435082,1
7.0,5.103896756553941,2,25,3.4124272560804627,2
7.0,7.54984870353225,4,20,5.50137319764614,3
4.0,6.325506938770657,4,29,3.444376346020089,4
4.0,3.952547057449664,1,3,9.41463650091356,5
5.0,6.764830217636996,4,27,7.563357571684606,6
10.0,7.921161118521855,4,20,6.849160000184833,7
5.0,8.301198297157576,4,0,2.179691634134968,8
1.0,5.2232112988402015,2,6,1.7317247371496371,9
6.0,6.975413397877197,3,17,5.44230501943273,10
7.0,5.399600829024012,2,22,6.49048125007927,11
5.0,5.223283455334012,1,21,8.548482374080775,12
5.0,5.546582305491265,2,22,3.2074009749761734,13
7.0,5.006477533401897,1,13,5.784979033352987,14
3.0,6.71104690988033,0,22,7.587603667975378,15
2.0,6.773534022322253,0,15,4.416550049921425,16
3.0,3.0,2,0,6.1764998244603415,17
8.0,5.513561040741418,2,16,5.572064561565512,18
7.0,4.956083978457306,3,1,3.780552020537351,19
7.0,7.178262022908912,2,21,8.510192630239214,20
10.0,7.379771913696311,2,10,5.589337823488065,21
4.0,8.038740530328006,3,13,5.512511516311731,22
8.0,7.996752238585673,2,25,4.870622594022838,23
5.0,5.432912863620792,2,4,2.3419143997967864,24
4.0,5.796652950377268,1,5,8.959259063781898,25
3.0,7.405845811806444,1,2,6.133766687240218,26
8.0,6.102316704076012,1,29,6.532444804285157,27
5.0,6.858637880592437,5,19,3.205556307144075,28
3.0,6.9479550115930016,0,2,7.540387811915198,29
1.0,4.789860413706537,4,11,8.878769766792416,30
1.0,3.926680903242668,3,12,5.123468907628342,31
1.0,6.639677236752334,3,26,2.0446908714228105,32
4.0,8.248283195955121,1,22,4.06128390784453,33
3.0,5.378036150248327,4,1,6.310735074444037,34
6.0,9.669677480575151,1,13,7.378026394825915,35
2.0,8.87062170783777,2,13,0.0,36
4.0,6.690619890939986,2,26,1.9296418405776603,37
3.0,6.238619328017618,1,13,5.742395546497269,38
9.0,5.097309469959344,1,14,6.198401270641121,39
4.0,5.715426537484546,2,6,4.572272375363184,40
10.0,7.213723295925195,2,10,2.5496356895513594,41
9.0,7.92726395909349,3,29,4.131089975389679,42
2.0,5.602479944404472,3,23,5.21935996976756,43
8.0,6.074014817105068,0,3,5.444899045392789,44
5.0,7.283678027600235,2,11,8.081758050039324,45
9.0,5.619666216152599,1,13,2.5947042539743723,46
6.0,4.699636904529692,0,0,3.446825003266552,47
3.0,8.108067700691238,2,30,3.268567261281525,48
1.0,5.930609687290605,0,1,2.258760267902143,49
5.0,7.015483260806907,4,5,7.481061577106051,50
7.0,6.809320102441096,0,25,2.9912997987941234,51
8.0,6.3237896109563145,2,13,6.50525358351523,52
6.0,7.06351422016143,3,31,6.999748486560952,53
4.0,5.410054034081908,1,18,2.7316539914155102,54
8.0,7.657045715943066,1,12,2.8630389793353235,55
4.0,5.337726916079955,0,21,5.158492206608034,56
6.0,7.282867843558912,2,23,7.011572450791882,57
8.0,7.946939226190751,3,5,1.446709999723252,58
7.0,9.39299270840267,1,20,4.488792211813928,59
9.0,8.479868821971552,1,14,4.986802580255807,60
3.0,6.61345840377304,0,23,6.877793997312043,61
3.0,6.994041465724033,1,5,3.452594269935796,62
4.0,7.683469604379407,2,11,6.928611236360309,63
7.0,3.6046466827724406,4,18,7.730881475545296,64
3.0,6.527676661666502,4,12,3.995413945597465,65
10.0,5.869977138201002,4,30,2.3540626871783186,66
6.0,7.644771193544765,3,0,3.8960410703300585,67
4.0,6.840965202458337,3,17,1.3740257819134376,68
3.0,7.739247791359524,2,1,4.703771878119999,69
2.0,5.724298472908497,2,7,3.093954648799769,70
9.0,6.116456852678176,1,15,3.030717437705708,71
9.0,7.2514539267681775,6,2,5.238522462489569,72
7.0,6.859922947227143,2,9,5.19762456183628,73
3.0,4.662609587598981,3,5,7.140546930423691,74
7.0,8.06308347327306,1,5,7.081483571114866,75
3.0,5.2375794693792495,1,2,6.164567402959433,76
8.0,7.261828022106827,5,1,1.7689001142248224,77
9.0,5.193366177812313,3,3,6.014949100819827,78
5.0,5.477516598599383,3,3,10.0,79
6.0,6.663800072728712,2,27,5.533846801115787,80
9.0,8.524292349400127,2,29,6.763981268021634,81
4.0,6.661793096788548,3,26,1.964332485286805,82
8.0,3.5221382912531016,5,6,4.545609487115383,83
6.0,5.782276381821521,1,21,0.8874104531553868,84
3.0,5.7452589375726095,4,9,5.3599791620767006,85
1.0,6.749314885731678,1,13,4.443717739033083,86
7.0,6.180387391562341,1,15,4.942276284847657,87
6.0,6.869464336195424,1,26,7.309147962072192,88
5.0,7.573395061248479,2,27,6.364402497108827,89
2.0,7.547442963010527,0,6,7.648839805299837,90
10.0,6.289376669251101,2,18,4.050967654382178,91
1.0,5.112304961713599,3,13,4.180554108484023,92
5.0,7.836023456098142,1,19,5.105049753455777,93
6.0,6.594984680201488,2,25,7.566046294387511,94
3.0,8.690036008225862,4,5,1.3898529585511263,95
2.0,5.826094516618438,3,16,2.4446414488868955,96
3.0,4.48921810695465,1,20,4.132405245381272,97
2.0,7.590434638925897,3,14,2.16712044787812,98
4.0,7.453240024221499,3,21,1.430907754944863,99
4.0,5.642473025428156,1,20,1.2911891030191534,100
2.0,6.257856668124227,1,6,5.657217731841746,101
5.0,5.640659168450702,1,29,3.529394164670097,102
10.0,8.29816923291229,0,21,5.4173164662977005,103
4.0,7.592375479086219,1,7,6.64288373114144,104
2.0,7.49718137205871,4,14,2.529185121671925,105
1.0,8.088121773692674,2,26,6.515699975597636,106
5.0,8.849584667355428,0,19,2.3015992913498597,107
4.0,4.43185199425012,1,31,3.763789506232295,108
9.0,7.824160961695751,2,20,7.294049473876502,109
9.0,5.933444508412587,1,19,5.844951869759942,110
1.0,5.8442132588390985,3,10,6.358640385652189,111
8.0,7.525968652064691,4,5,6.361188580995094,112
3.0,7.173939914669895,1,8,3.03676792900529,113
8.0,6.938424722984277,1,28,4.051944646403964,114
8.0,6.975438106819075,3,4,5.641306040181767,115
8.0,7.209423437490732,2,5,3.728241784178704,116
9.0,6.193811744552928,5,12,4.514682771914229,117
2.0,6.067808162492381,2,18,3.016441262321443,118
6.0,4.50161550497279,4,0,6.360090778289058,119
7.0,7.23517077882872,4,17,4.859020106477419,120
5.0,6.486297141155462,2,26,5.596593784922418,121
7.0,5.978156215193808,3,13,6.725802526979105,122
