social_platform_preference,platform_id
Facebook,1
Twitter,2
TikTok,3
Twitter,4
Twitter,5
Twitter,6
TikTok,7
TikTok,8
Twitter,9
Twitter,10
TikTok,11
TikTok,12
Twitter,13
TikTok,14
Telegram,15
Facebook,16
Telegram,17
Telegram,18
Twitter,19
Twitter,20
TikTok,21
Facebook,22
TikTok,23
Facebook,24
Instagram,25
Twitter,26
TikTok,27
Telegram,28
Twitter,29
Facebook,30
Instagram,31
Facebook,32
Telegram,33
TikTok,34
Twitter,35
Telegram,36
Facebook,37
Telegram,38
Facebook,39
Instagram,40
Twitter,41
Telegram,42
Facebook,43
Twitter,44
Telegram,45
TikTok,46
Facebook,47
Facebook,48
Telegram,49
Instagram,50
Facebook,51
Telegram,52
TikTok,53
Facebook,54
TikTok,55
Telegram,56
Telegram,57
TikTok,58
TikTok,59
Instagram,60
TikTok,61
TikTok,62
Twitter,63
Telegram,64
Instagram,65
Telegram,66
TikTok,67
TikTok,68
Facebook,69
TikTok,70
Facebook,71
Telegram,72
Twitter,73
Facebook,74
Telegram,75
Telegram,76
Telegram,77
Facebook,78
Facebook,79
Telegram,80
Telegram,81
TikTok,82
Facebook,83
Telegram,84
Twitter,85
TikTok,86
Twitter,87
Facebook,88
TikTok,89
Instagram,90
Instagram,91
Instagram,92
Instagram,93
Telegram,94
TikTok,95
Facebook,96
Telegram,97
Instagram,98
Instagram,99
Facebook,100
Instagram,101
TikTok,102
Facebook,103
Telegram,104
Instagram,105
Instagram,106
Facebook,107
Instagram,108
Instagram,109
Facebook,110
Instagram,111
Instagram,112
Instagram,113
Instagram,114
TikTok,115
Facebook,116
Instagram,117
Instagram,118
TikTok,119
Facebook,120
Twitter,121
Instagram,122
Twitter,123
Twitter,124
Instagram,125
Instagram,126
Facebook,127
Telegram,128
Facebook,129
Telegram,130
TikTok,131
Telegram,132
Telegram,133
Instagram,134
Facebook,135
Telegram,136
TikTok,137
TikTok,138
TikTok,139
Facebook,140
Facebook,141
TikTok,142
TikTok,143
TikTok,144
Facebook,145
Facebook,146
Facebook,147
Telegram,148
Instagram,149
Twitter,150
Facebook,151
Facebook,152
Twitter,153
Instagram,154
TikTok,155
Facebook,156
Twitter,157
Telegram,158
Facebook,159
TikTok,160
TikTok,161
TikTok,162
Facebook,163
Instagram,164
Twitter,165
Twitter,166
TikTok,167
Twitter,168
TikTok,169
Facebook,170
Instagram,171
TikTok,172
Twitter,173
Facebook,174
Facebook,175
Twitter,176
TikTok,177
Instagram,178
Instagram,179
Instagram,180
TikTok,181
Facebook,182
Twitter,183
Facebook,184
Twitter,185
Telegram,186
Twitter,187
Twitter,188
Telegram,189
Twitter,190
Facebook,191
Facebook,192
Facebook,193
TikTok,194
Facebook,195
TikTok,196
Twitter,197
Telegram,198
Telegram,199
Facebook,200
Instagram,201
Instagram,202
Instagram,203
TikTok,204
TikTok,205
TikTok,206
Instagram,207
Telegram,208
Instagram,209
Facebook,210
Telegram,211
Facebook,212
Twitter,213
Instagram,214
Telegram,215
TikTok,216
Instagram,217
TikTok,218
TikTok,219
Telegram,220
TikTok,221
Telegram,222
Telegram,223
Facebook,224
Twitter,225
Instagram,226
TikTok,227
TikTok,228
Twitter,229
TikTok,230
Telegram,231
Telegram,232
Instagram,233
Instagram,234
TikTok,235
Twitter,236
Instagram,237
Instagram,238
Instagram,239
TikTok,240
Instagram,241
Facebook,242
Telegram,243
Facebook,244
Facebook,245
Facebook,246
Instagram,247
Telegram,248
Telegram,249
Facebook,250
Facebook,251
Instagram,252
TikTok,253
Telegram,254
TikTok,255
Facebook,256
Facebook,257
Telegram,258
Twitter,259
Twitter,260
Telegram,261
Instagram,262
Twitter,263
Twitter,264
Facebook,265
Twitter,266
Telegram,267
Instagram,268
TikTok,269
Facebook,270
Facebook,271
TikTok,272
Facebook,273
Facebook,274
Telegram,275
Telegram,276
Facebook,277
TikTok,278
Twitter,279
Facebook,280
Instagram,281
TikTok,282
Twitter,283
Instagram,284
Instagram,285
Instagram,286
Instagram,287
Facebook,288
TikTok,289
Facebook,290
Telegram,291
Instagram,292
TikTok,293
Twitter,294
Facebook,295
Facebook,296
TikTok,297
Facebook,298
Instagram,299
Twitter,300
TikTok,301
Instagram,302
TikTok,303
TikTok,304
Facebook,305
Twitter,306
Facebook,307
Telegram,308
Instagram,309
Twitter,310
Twitter,311
Twitter,312
Twitter,313
TikTok,314
Instagram,315
Instagram,316
Telegram,317
TikTok,318
Facebook,319
TikTok,320
Telegram,321
Instagram,322
Facebook,323
Instagram,324
Telegram,325
Telegram,326
Facebook,327
Instagram,328
Telegram,329
TikTok,330
Facebook,331
Twitter,332
Instagram,333
TikTok,334
Facebook,335
