gender,age,job_type,user_id
M,56,Unemployed,1
M,46,Health,2
F,56,Unemployed,3
F,36,Education,4
M,28,IT,5
M,57,Education,6
M,41,Education,7
M,20,Student,8
M,19,Health,9
F,61,Education,10
Other,47,Health,11
F,55,Finance,12
M,19,Health,13
M,38,IT,14
M,29,Student,15
F,39,Education,16
M,42,Health,17
M,45,Student,18
M,33,Unemployed,19
F,32,Finance,20
F,61,Student,21
M,54,Education,22
F,38,Health,23
M,35,Unemployed,24
M,21,Unemployed,25
F,42,Finance,26
F,19,IT,27
F,64,Education,28
F,24,Finance,29
M,61,Unemployed,30
F,25,Unemployed,31
M,52,IT,32
M,53,Student,33
M,57,Health,34
F,59,Finance,35
F,21,Health,36
F,46,Education,37
F,35,Unemployed,38
M,61,IT,39
M,27,IT,40
F,53,Health,41
M,65,Finance,42
F,32,Finance,43
F,25,IT,44
M,57,Student,45
F,38,Health,46
M,33,Finance,47
F,35,IT,48
M,64,Finance,49
F,41,Unemployed,50
M,62,Finance,51
M,58,Unemployed,52
F,32,IT,53
F,18,Unemployed,54
F,42,Unemployed,55
F,26,Finance,56
F,61,IT,57
F,28,Education,58
M,52,Student,59
F,52,Unemployed,60
M,50,IT,61
F,22,Health,62
F,59,Education,63
F,45,Student,64
F,24,Education,65
F,26,IT,66
F,25,Education,67
F,29,Finance,68
M,50,IT,69
M,40,Unemployed,70
M,41,Health,71
F,54,Health,72
F,57,Unemployed,73
F,39,Student,74
F,52,Unemployed,75
M,18,Student,76
M,64,Student,77
M,31,Unemployed,78
F,20,Health,79
M,22,Finance,80
M,31,Student,81
M,56,Unemployed,82
M,32,IT,83
F,43,IT,84
F,59,Finance,85
F,30,Unemployed,86
F,49,Student,87
M,49,Finance,88
F,47,IT,89
M,56,IT,90
F,62,IT,91
M,60,Student,92
M,46,Finance,93
M,49,Student,94
F,45,Health,95
M,62,Student,96
M,23,Unemployed,97
M,45,IT,98
F,61,Health,99
Other,61,Education,100
M,50,Unemployed,101
M,44,Health,102
F,58,Finance,103
F,20,Unemployed,104
M,25,Health,105
M,44,Unemployed,106
M,26,Finance,107
F,54,Student,108
M,50,Finance,109
F,41,Unemployed,110
F,32,Student,111
M,49,IT,112
F,49,Unemployed,113
F,41,Student,114
F,56,Health,115
M,19,Unemployed,116
M,34,IT,117
F,45,Education,118
F,40,Finance,119
F,54,Health,120
M,50,Education,121
M,18,Unemployed,122
M,43,Student,123
F,49,IT,124
M,23,Unemployed,125
Other,21,Student,126
F,34,Student,127
F,41,Finance,128
M,51,IT,129
F,28,IT,130
Other,65,Education,131
F,26,Health,132
F,23,Finance,133
M,33,Health,134
M,46,Health,135
F,37,Unemployed,136
F,53,Health,137
M,36,Education,138
M,43,IT,139
F,36,IT,140
F,37,Finance,141
M,24,Health,142
F,57,Education,143
F,35,Finance,144
M,57,Education,145
M,45,Education,146
F,42,IT,147
F,48,Finance,148
F,47,Finance,149
F,24,IT,150
F,33,Finance,151
F,43,Education,152
M,65,Student,153
F,18,Finance,154
M,65,Student,155
M,29,Health,156
M,22,Unemployed,157
M,54,Unemployed,158
F,26,Student,159
F,52,Health,160
M,36,Student,161
M,65,Student,162
M,33,Health,163
F,20,Student,164
M,37,Student,165
M,41,Health,166
F,41,Unemployed,167
M,28,IT,168
M,25,Health,169
F,53,Finance,170
F,55,Student,171
F,42,Finance,172
M,46,Unemployed,173
M,35,Health,174
F,35,IT,175
F,33,Unemployed,176
M,58,Education,177
M,50,Unemployed,178
M,31,Unemployed,179
F,37,Student,180
M,25,Health,181
M,20,IT,182
F,34,Health,183
M,50,Student,184
M,65,Unemployed,185
F,39,IT,186
M,39,Health,187
Other,63,Finance,188
F,47,IT,189
F,62,Finance,190
M,25,Education,191
M,44,Finance,192
M,44,Education,193
F,38,Student,194
M,50,IT,195
F,64,Health,196
M,50,Student,197
F,22,Unemployed,198
F,36,IT,199
M,21,Health,200
F,52,Health,201
M,47,Student,202
M,46,IT,203
F,23,IT,204
M,52,IT,205
M,58,Unemployed,206
F,54,Health,207
F,41,Unemployed,208
F,52,IT,209
F,38,Unemployed,210
M,50,Unemployed,211
Other,35,Student,212
M,42,IT,213
M,59,Health,214
Other,48,Student,215
M,20,Unemployed,216
F,63,Finance,217
M,49,Student,218
M,64,Education,219
M,40,IT,220
F,19,Student,221
F,19,Education,222
M,57,Finance,223
F,50,Student,224
F,26,Health,225
M,60,Education,226
M,65,Unemployed,227
M,56,Health,228
F,52,Student,229
F,42,Health,230
M,30,Education,231
M,53,Education,232
F,62,Unemployed,233
M,37,Health,234
M,25,Education,235
F,33,Finance,236
M,40,Education,237
M,19,Unemployed,238
F,49,Finance,239
F,39,Education,240
F,59,Health,241
F,23,Student,242
M,60,Health,243
